"/home/matheus/eclipse/Projetos";"""Graph""";"""directed"""
"/home/matheus/eclipse/Projetos";"""Queue"""
"/home/matheus/eclipse/Projetos";"""Stack"""
"/home/matheus/eclipse/Projetos";"""LinkedList"""
"/home/matheus/eclipse/Projetos";"""Node""";"""value"""
"/home/matheus/eclipse/Projetos";"""PriorityQueue""";"""initialItems"""
"/home/matheus/eclipse/Projetos";"""MinHeap""";"""compareFn"""
"/home/matheus/eclipse/Projetos";"""MaxHeap""";"""compareFn"""
"/home/matheus/eclipse/Projetos";"""BST""";"""compareFn"""
"/home/matheus/eclipse/Projetos";"""Node""";"""value""";"""parent"""
